modbus_address_HEX,modbus_address_DEC,parameter_description,standard,data_type,R/W,data_range,measurement_units,default,model,register_number
"[1000H, 1001H]","[4096, 4097]",sunspec_id,sunspec,Uint16,R,0x53756e53,NULL,1,1~4,2
1002H,4098,id,Acurev 1300,Uint16,R,1,NULL,1,1~4,1
1003H,4099,lenth,Acurev 1300,Uint16,R,65,NULL,65,1~4,1
"[1004H, 1005H, 1006H, 1007H, 1008H, 1009H, 1010H, 1011H]","[4100, 4101, 4102, 4103, 4104, 4105, 4106, 4107]",manufacturer,Acurev 1300,string,R,Well known value registered with SunSpec for compliance,NULL,Accuenergy,1~4,16
"[1014H, 1015H, 1016H, 1017H, 1018H, 1019H, 101AH, 101BH]","[4116, 4117, 4118, 4119, 4120, 4121, 4122, 4123]",model,Acurev 1300,string,R,Manufacturer specific value (32 chars),NULL,AcuRev1300,1~4,16
"[1024H, 1025H, 1026H, 1027H, 1028H, 1029H, 102AH, 102BH]","[4132, 4133, 4134, 4135, 4136, 4137, 4138, 4139]",options,Acurev 1300,string,R,Manufacturer specific value (16 chars),NULL,AcuRev130X,1~4,8
"[102CH, 102DH, 102EH, 102FH, 1030H, 1031H, 1032H, 1033H]","[4140, 4141, 4142, 4143, 4144, 4145, 4146, 4147]",version,Acurev 1300,string,R,Manufacturer specific value (16 chars),NULL,H:1.10 S:1.01,1~4,8
"[1034H, 1035H, 1036H, 1037H, 1038H, 1039H, 103AH, 103BH]","[4148, 4149, 4150, 4151, 4152, 4153, 4154, 4155]",serial_number,Acurev 1300,string,R,Manufacturer specific value (32 chars),NULL,NULL,1~4,16
1044H,4164,device_address,Acurev 1300,uint16,R/W,Modbus device address,NULL,NULL,1~4,1
1045H,4165,id,Acurev 1300,Uint16,R,Meter (Single Phase) single phase (AN or AB) meter --201 split single phase (ABN) meter â€“202 wye-connect three phase (abcn) meterâ€”203 delta-connect three phase (abc) meter --204,NULL,NULL,1~4,1
1046H,4166,lenth,Acurev 1300,Uint16,R,105,NULL,NULL,1~4,1
104BH,4171,current_scale_factor,sunspec,sunssf,R,-3~+5 (used as exponent of a power of 10),NULL,NULL,1~4,1
1054H,4180,voltage_scale_factor,sunspec,sunssf,R,-2~2,NULL,NULL,1~4,1
1056H,4182,frequency_scale_factor,Acurev 1300,sunssf,R,-2,NULL,NULL,1~4,1
105BH,4187,real_power_scale_factor,sunspec,sunssf,R,0 ~ 4,NULL,NULL,1~4,1
1060H,4192,apparent_power_scale_factor,sunspec,sunssf,R,0 ~ 4,NULL,NULL,1~4,1
1065H,4197,reactive_power_scale_factor,sunspec,sunssf,R,0 ~ 4,NULL,NULL,1~4,1
106AH,4202,power_factor_scale_factor,sunspec,sunssf,R,-3,NULL,NULL,1~4,1
107B,4219,totwh_sf,sunspec,acc32,R,-3 ~ 0,NULL,NULL,1~4,1
108CH,4236,totvah_sf_sunspec,sunspec,sunssf,R,-3 ~ 0,NULL,NULL,2~4,1
10ADH,4269,totvarh_sf,sunspec,,R,NULL,NULL,NULL,2~4,1
"[10AEH, 10AFH]","[4270, 4271]",meter_event_flags,,bitfield32,R,0,NULL,0,1~4,2
10B0H,4272,sunspec_end_id_sunspec,sunspec,uint16,,0xFFFF,NULL,NULL,1~4,1
10B1H,4273,sunspec_end_lenth_sunspec,sunspec,uint16,,0x0000,NULL,NULL,1~4,1
